Date/Time,Word Count,ar,ar-SA,en
2024.07.10-09.57.44,18,0,0,18
2024.07.10-10.01.30,12,0,4,12
2024.07.10-13.17.02,8,0,0,8
2024.07.10-13.21.19,9,0,0,9
2024.07.10-13.24.59,9,0,1,9
2024.07.10-13.25.32,8,0,0,8
2024.07.10-13.31.12,12,0,0,12
2024.07.10-13.32.09,12,0,4,12
2024.07.10-13.50.57,12,0,8,12
2024.07.10-13.58.06,12,0,12,12
2024.07.10-13.59.47,12,0,11,12
2024.07.10-14.00.23,12,0,12,12
2024.07.10-14.33.58,12,0,11,12
2024.07.10-14.46.18,12,0,12,12
2024.07.10-14.59.43,13,0,12,13
2024.07.10-15.00.24,13,0,13,13
2024.07.10-15.22.57,13,0,0,13
2024.07.10-15.24.23,13,11,0,13
2024.07.10-15.24.51,13,13,0,13
2024.07.10-15.28.56,6,0,0,6
2024.07.10-15.31.03,6,6,0,6
2024.07.10-15.45.24,7,6,0,7
2024.07.10-15.45.59,7,7,0,7
2024.07.10-16.16.41,7,0,0,7
2024.07.10-16.17.36,7,0,7,7
2024.07.10-16.21.47,7,0,7,7
